spellId,count
5143,8
30451,8
321507,8
443531,8
382445,8
365350,8
44425,8
382440,8
361584,8
12051,8
1953,8
372610,8
262652,7
197568,7
390287,7
1235840,7
33697,7
383648,7
466772,7
382889,7
204361,7
452201,7
198103,7
197209,7
344548,7
188389,7
115360,7
454025,7
192106,7
17364,7
196840,7
409293,7
114089,7
409304,7
455089,7
114093,7
1239315,7
201846,7
335151,7
305485,7
204408,7
1227124,7
470466,7
448730,7
1227162,7
455130,7
454376,7
381755,7
186403,7
118905,7
454394,7
334196,7
1217101,7
448744,7
381761,7
285452,7
344179,7
188196,7
64695,7
2645,7
114051,7
462854,7
333957,7
470532,7
428078,7
384451,7
282559,7
260881,7
10444,7
384357,7
345228,7
466469,7
454015,7
469270,7
108271,7
342240,7
1223417,7
8004,7
187874,7
462131,7
115357,7
25504,7
135299,3
117405,3
